id,name,breed,sex,age,status,loc
48988927,Ramona,"Terrier, Pit Bull/Mix",Female/Spayed,3 years 1 month,adoption,Foster Home
48947201,Eeyore,"Terrier, American Pit Bull/Mix",Male/Neutered,1 year 1 month,adoption,Foster Home
48218529,Mixxie,"Terrier, American Staffordshire/Mix",Female,2 years 5 months,adoption,Foster Home
45871484,Norman,Border Collie/Mix,Male/Neutered,5 years,adoption,Adoption
49226956,Jolly,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",Male, 7 months,adoption,Foster Home
48047967,Rocky River,Shepherd/Mix,Male/Neutered,3 years 6 months,adoption,Adoption
48672120,Sailor Mercury,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",Female/Spayed,2 years 3 months,adoption,Adoption
49226113,Striker,"Terrier, Pit Bull/Mix",Male,1 year,adoption,Foster Home
48739696,Cliff,"Terrier, American Pit Bull/Mix",Male,1 year 2 months,adoption,Foster Home
48931823,Frankie,"Terrier, Pit Bull/Mix",Female,3 years 2 months,adoption,Foster Home
49147251,Lilly Bean,Coonhound/Mix,Female,2 years,adoption,Foster Home
49153134,Panda Bear,Cane Corso/Mix,Female,9 years,adoption,Foster Home
49185457,Sam I Am,Shepherd/Rottweiler,Male/Neutered,1 year,adoption,Adoption
49123019,Trent,Great Dane/Mix,Male,1 year 6 months,adoption,Foster Home
49058305,Larpie,"Terrier, Pit Bull/Mix",Female,1 year 6 months,adoption,Foster Home
47666882,Ellis,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 7 months,adoption,Adoption
46447824,Lenny,"Terrier, American Pit Bull/Mix",Male/Neutered,1 year 11 months,adoption,Adoption
48997599,Tide,"Terrier, American Pit Bull/Mix",Male,4 years,adoption,Clinic
49072577,Ada One,"Terrier, American Pit Bull/Mix",Female,3 years 1 month,adoption,Foster Home
49199003,Glenaire,"Terrier, American Pit Bull/Mix",Female,4 years,adoption,Foster Home
49262294,Avery,Retriever/Mix,Male, 3 months,adoption,Foster Home
48483097,Shady,"Terrier, American Pit Bull/Mix",Female/Spayed,3 years 4 months,adoption,Adoption
48984590,Sarge,"Terrier, American Staffordshire/Mix",Male/Neutered,5 years 1 month,adoption,Adoption
49245213,Sunshine,"Terrier, American Pit Bull/Mix",Female,3 years,adoption,New Arrivals
49046296,Rocky Road,Cane Corso/Mix,Male/Neutered,6 years 1 month,adoption,Extended Stay
49080558,Regina George,"Terrier, American Pit Bull/Mix",Female,4 years 1 month,adoption,Adoption
49106133,Fraggle,Boxer/Mix,Male,4 years 1 month,adoption,Foster Home
45420919,Carly,"Terrier, American Pit Bull/Mix",Female/Spayed,7 years 3 months,adoption,Adoption
48803857,Bermuda,"Terrier, Pit Bull/Mix",Female,1 year 2 months,adoption,Foster Home
46321834,Henry,"Retriever, Labrador/Terrier, American Pit Bull",Male/Neutered,3 years,adoption,Adoption
49114236,Jasmine,"Terrier, Pit Bull/Mix",Female/Spayed,2 years 1 month,adoption,Foster Home
49049816,Lucky,"Terrier, American Pit Bull/Mix",Male,2 years 1 month,adoption,Foster Home
48966418,Magenta,"Terrier, American Pit Bull/Mix",Female,3 years 1 month,adoption,Foster Home
49076630,Halo,"Terrier, American Pit Bull/Mix",Female,1 year 1 month,adoption,Foster Home
49240629,Diamond,"Terrier, American Pit Bull/Mix",Female,3 years,adoption,Adoption
45915268,Oliver,"Retriever, Labrador/Terrier",Male/Neutered,2 years,adoption,Foster Home
49216690,Paul,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years,adoption,Adoption
49219503,Serena,"Retriever, Labrador/Mix",Female/Spayed,7 years,adoption,Foster Home
49262300,Ooh LaLa,German Shepherd/Mix,Female,1 year 6 months,adoption,Foster Home
49271109,Watson,"Terrier, American Pit Bull/Mix",Male,7 years,adoption,Foster Home
49239023,Ruth,"Terrier, American Pit Bull/Mix",Female,2 years,adoption,Foster Home
48869815,Whistles,"Terrier, American Staffordshire/Mix",Male/Neutered,8 years 2 months,adoption,Foster Home
48351060,Princess Seltzer,Hound/Terrier,Female/Spayed,8 years 4 months,adoption,Foster Home
46387586,Diesel,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 11 months,adoption,Adoption
48188092,Daisy Do's,Retriever/Mix,Female/Spayed,1 year 4 months,adoption,Foster Home
49156911,Seymore,Boxer/Mix,Male,4 years,adoption,Foster Home
49237489,Snorfles,"Terrier, American Pit Bull/Mix",Male,5 years,adoption,Foster Home
48243186,Shake It,"Terrier, American Pit Bull/Mix",Male/Neutered,5 years 5 months,adoption,Foster Home
48627955,Negan,"Terrier, Pit Bull/Mix",Male/Neutered,5 years 3 months,adoption,Foster Home
48785448,Kelvey,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 2 months,adoption,Adoption
48933554,Kendle,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 2 months,adoption,Adoption
49068335,Naji,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 1 month,adoption,Adoption
48229542,Kung Fu Panda,Border Collie/Mix,Male/Neutered,1 year 11 months,adoption,Extended Stay
49243422,Warrior,Boxer/Mix,Male,5 years,adoption,Adoption
48898276,Diva Dog,"Terrier, Pit Bull/Mix",Female/Spayed,4 years 1 month,adoption,Adoption
47928785,Stitch,"Terrier, American Staffordshire/Mix",Male/Neutered,1 year 6 months,adoption,Adoption
49257678,Farley,Cane Corso/Mix,Female,6 years 6 months,adoption,Foster Home
48311697,Frick,"Terrier, American Pit Bull/Mix",Male/Neutered,1 year 4 months,adoption,Foster Home
48674929,King Ding,"Terrier, Pit Bull/Mix",Male,5 years 3 months,adoption,Adoption
49157527,Shirley,Terrier/Mix,Female,6 years,adoption,Foster Home
48789599,Nokia,Terrier/Mix,Male/Neutered,8 years 2 months,adoption,Foster Home
49221061,Libby,"Terrier, American Pit Bull/Mix",Female,4 years,adoption,Foster Home
46412609,Rambo,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 11 months,adoption,New Arrivals
47589129,Miss Wiggles,Hound/Bulldog,Female/Spayed,1 year 8 months,adoption,Adoption
48579801,Rome,Boxer/Mix,Male/Neutered,1 year 9 months,adoption,Adoption
48704921,Moco,"Terrier, American Pit Bull/Siberian Husky",Male/Neutered,10 years 3 months,adoption,Adoption
49239881,Loki,Cane Corso/Olde English Bulldogge,Male,1 year,adoption,Adoption
48601647,Daisy,"Terrier, Pit Bull/Mix",Female,1 year 3 months,adoption,Foster Home
48429099,Moe,"Terrier, American Pit Bull/Mix",Male/Neutered,8 years 1 month,adoption,Foster Home
48643516,Lala,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 3 months,adoption,Adoption
48369178,Mandalorian,Terrier/Mix,Male/Neutered,2 years 11 months,adoption,Adoption
49060333,Bird,Retriever/Mix,Male, 9 months,adoption,Adoption
49142158,Willy Pete,Bulldog/Mix,Male/Neutered,3 years 7 months,adoption,Adoption
46442077,Quentin,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 11 months,adoption,Home Cats
48379202,Pop,Boxer/Hound,Male,5 years 9 months,adoption,Foster Home
49169647,Henrietta,"Terrier, Pit Bull/Mix",Female,3 years,adoption,Foster Home
