id,name,breed,sex,age,status,loc
45420919,Carly,"Terrier, American Pit Bull/Mix",Female/Spayed,7 years 3 months,adoption,Adoption
46649179,Blake Lively,"Terrier, American Pit Bull/Mix",Female/Spayed,1 year 10 months,adoption,Foster Home
49010530,Carmel,"Terrier, Pit Bull/Mix",Female/Spayed,2 years 1 month,adoption,Foster Home
45915268,Oliver,"Retriever, Labrador/Terrier",Male/Neutered,2 years,adoption,Foster Home
49046758,Idlewild,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",Male, 4 months,adoption,Foster Home
49147251,Lilly Bean,Coonhound/Mix,Female,2 years,adoption,Foster Home
48047967,Rocky River,Shepherd/Mix,Male/Neutered,3 years 6 months,adoption,Adoption
48766810,Whammy Bar,"Terrier, American Staffordshire/Mix",Male/Neutered,2 years 2 months,adoption,Extended Stay
48789599,Nokia,Terrier/Mix,Male/Neutered,8 years 2 months,adoption,Foster Home
49031689,Ace,Akita/Mix,Male,2 years 1 month,adoption,Extended Stay
49123019,Trent,Great Dane/Mix,Male,1 year 7 months,adoption,Foster Home
48579801,Rome,Boxer/Mix,Male/Neutered,1 year 9 months,adoption,Adoption
49278797,Flurry,Terrier/Mix,Male/Neutered,7 years,adoption,Foster Home
48505133,Alejandro,"Terrier, Pit Bull/Mix",Male/Neutered,1 year 1 month,adoption,Extended Stay
49254297,Santa,Terrier/Mix,Male,3 years,adoption,Foster Home
48429099,Moe,"Terrier, American Pit Bull/Mix",Male/Neutered,8 years 1 month,adoption,Foster Home
49249490,Big Pun,"Terrier, American Pit Bull/Mix",Male,3 years,adoption,Adoption
48934120,Boboking,"Terrier, American Pit Bull/Mix",Female,4 years 2 months,adoption,Foster Home
49157527,Shirley,Terrier/Mix,Female,6 years,adoption,Foster Home
49072577,Ada One,"Terrier, American Pit Bull/Mix",Female,3 years 1 month,adoption,Foster Home
48803857,Bermuda,"Terrier, Pit Bull/Mix",Female,1 year 2 months,adoption,Foster Home
48308713,Tony Hawk,"Terrier, American Pit Bull/Mix",Male,2 years 5 months,adoption,Foster Home
48585189,Maple Leaf,"Terrier, American Pit Bull/Mix",Male,2 years 3 months,adoption,Adoption
49239023,Ruth,"Terrier, American Pit Bull/Mix",Female,2 years,adoption,Foster Home
46412609,Rambo,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 11 months,adoption,Foster Home
48785448,Kelvey,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 2 months,adoption,Adoption
46387586,Diesel,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 11 months,adoption,Adoption
47715576,Ole Jack,"Terrier, American Pit Bull/Mix",Male/Neutered,8 years 7 months,adoption,Front Office
49157336,Sheeva,"Terrier, American Pit Bull/Mix",Female,2 years,adoption,Foster Home
49262933,Boomer,"Terrier, American Pit Bull/Mix",Male,3 years,adoption,Foster Home
48379202,Pop,Boxer/Hound,Male,5 years 9 months,adoption,Foster Home
46680831,Bill,"Terrier, American Pit Bull/Mix",Male/Neutered,6 years 10 months,adoption,Foster Home
48869815,Whistles,"Terrier, American Staffordshire/Mix",Male/Neutered,8 years 2 months,adoption,Foster Home
49059552,Laverne,"Terrier, American Pit Bull/Mix",Female,2 years 1 month,adoption,Foster Home
49235942,Loki,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",Male/Neutered, 11 months,adoption,Adoption
47666882,Ellis,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 7 months,adoption,Adoption
47614397,Bonsai,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 8 months,adoption,Adoption
49077485,Jethro,"Terrier, American Pit Bull/Mix",Male,2 years 7 months,adoption,Adoption
47947345,Honey,"Terrier, American Pit Bull/Mix",Female/Spayed,2 years 6 months,adoption,Adoption
46442077,Quentin,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 11 months,adoption,Home Cats
48601647,Daisy,"Terrier, Pit Bull/Mix",Female,1 year 3 months,adoption,Foster Home
49216690,Paul,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years,adoption,Adoption
49254306,Mrs. Claus,"Terrier, Pit Bull/Mix",Female,3 years,adoption,New Arrivals
49104349,MeiMei,"Terrier, American Pit Bull/Mix",Female/Spayed,3 years 1 month,adoption,Adoption
49213700,Rutledge,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",Male,1 year 6 months,adoption,Foster Home
48243186,Shake It,"Terrier, American Pit Bull/Mix",Male/Neutered,5 years 5 months,adoption,Foster Home
49141382,C Lo,"Terrier, American Staffordshire/Mix",Male,7 years 1 month,adoption,Foster Home
48934393,Kolson,"Terrier, American Pit Bull/Mix",Male,4 years 2 months,adoption,Adoption
48643516,Lala,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 3 months,adoption,Adoption
49242334,Minion,"Terrier, American Staffordshire/Mix",Male,3 years,adoption,Adoption
45200604,Ivy,"Terrier, American Pit Bull/Mix",Female/Spayed,4 years 6 months,adoption,Foster Home
49273569,Chocolate Bark,"Terrier, Pit Bull/Mix",Female,2 years,adoption,New Arrivals
48947201,Eeyore,"Terrier, American Pit Bull/Mix",Male/Neutered,1 year 1 month,adoption,Foster Home
48153493,Mel,"Terrier, American Pit Bull/Mix",Female/Spayed,2 years 5 months,adoption,Adoption
47939596,Hauss,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 6 months,adoption,Foster Home
48188092,Daisy Do's,Retriever/Mix,Female/Spayed,1 year 4 months,adoption,Foster Home
48625537,Bobble Head,"Terrier, American Staffordshire/Mix",Male/Neutered,2 years 3 months,adoption,Adoption
48794477,Pugsley Addams,"Terrier, American Staffordshire/Mix",Male/Neutered,3 years 2 months,adoption,Adoption
48369178,Mandalorian,Terrier/Mix,Male/Neutered,3 years,adoption,Adoption
48887513,Reaper,"Terrier, Pit Bull/Mix",Male/Neutered,2 years 2 months,adoption,Adoption
49106133,Fraggle,Boxer/Mix,Male,4 years 1 month,adoption,Foster Home
49229978,Dell,"Terrier, American Pit Bull/Mix",Male,3 years,adoption,Extended Stay
49090371,Midnight Sky,Retriever/Mix,Female/Spayed,3 years 1 month,adoption,Foster Home
48483097,Shady,"Terrier, American Pit Bull/Mix",Female/Spayed,3 years 4 months,adoption,Foster Home
46973935,Biggie,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 9 months,adoption,Clinic
49199003,Glenaire,"Terrier, American Pit Bull/Mix",Female,4 years,adoption,Foster Home
49082103,Whitney,"Terrier, American Staffordshire/Mix",Female,8 years,adoption,Foster Home
49157518,Zen,Terrier/Mix,Male/Neutered,3 years,adoption,Foster Home
49245213,Sunshine,"Terrier, American Pit Bull/Mix",Female,3 years,adoption,New Arrivals
48988927,Ramona,"Terrier, Pit Bull/Mix",Female/Spayed,3 years 1 month,adoption,Foster Home
49219503,Serena,"Retriever, Labrador/Mix",Female/Spayed,7 years,adoption,Foster Home
49238586,Tyra,"Terrier, Pit Bull/Mix",Female,3 years,adoption,Foster Home
47589129,Miss Wiggles,Hound/Bulldog,Female/Spayed,1 year 8 months,adoption,Adoption
48591968,Atilla,"Terrier, American Pit Bull/Mix",Male,1 year 3 months,adoption,Adoption
45503526,Goliath,"Terrier, American Pit Bull/Mix",Male/Neutered,5 years 3 months,adoption,Adoption
49119237,Lefty,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years,adoption,Foster Home
49277544,Texas Ranger,Belgian Malinois/Mix,Male,1 year,adoption,New Arrivals
46321834,Henry,"Retriever, Labrador/Terrier, American Pit Bull",Male/Neutered,3 years,adoption,Adoption
49223311,Stimpy,"Terrier, American Pit Bull/Mix",Male,4 years,adoption,Adoption
48229542,Kung Fu Panda,Border Collie/Mix,Male/Neutered,1 year 11 months,adoption,Extended Stay
48931823,Frankie,"Terrier, Pit Bull/Mix",Female,3 years 2 months,adoption,Foster Home
49029070,Tobias,Shepherd/Retriever,Male/Neutered,2 years 1 month,adoption,Adoption
49184147,Monstera,Bulldog/Mix,Male,2 years,adoption,Foster Home
49182172,Cheese Coney,"Terrier, Pit Bull/Mix",Female/Spayed,8 years,adoption,Foster Home
49233925,Jingle Bell,"Terrier, American Pit Bull/Mix",Female,3 years,adoption,Foster Home
49226668,Alora,Terrier/Mix,Female/Spayed, 2 months,adoption,Foster Home
48464301,Frogger,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 4 months,adoption,Foster Home
49243422,Warrior,Boxer/Mix,Male,5 years,adoption,Foster Home
49127132,Adam,"Terrier, American Staffordshire/Mix",Male/Neutered,3 years 1 month,adoption,Foster Home
49153134,Panda Bear,Cane Corso/Mix,Female,9 years,adoption,Foster Home
48997599,Tide,"Terrier, American Pit Bull/Mix",Male,4 years,adoption,Clinic
46219704,Deezy,"Terrier, American Pit Bull/Mix",Female/Spayed,9 years 8 months,adoption,Foster Home
48100734,Dwight,"Terrier, American Pit Bull/Mix",Male/Neutered,5 years 5 months,adoption,Adoption
48928599,Journey,"Terrier, American Pit Bull/Mix",Male,1 year 2 months,adoption,Holding
49076630,Halo,"Terrier, American Pit Bull/Mix",Female,1 year 1 month,adoption,Foster Home
49080558,Regina George,"Terrier, American Pit Bull/Mix",Female,4 years 1 month,adoption,Adoption
49188323,Swivel,Mastiff/Mix,Male,2 years,adoption,Foster Home
46147807,Theo,"Terrier, American Pit Bull/Mix",Male/Neutered,4 years,adoption,Foster Home
49239881,Loki,Cane Corso/Olde English Bulldogge,Male,1 year,adoption,Adoption
49261892,Christmas Carol,"Terrier, Pit Bull/Mix",Female,2 years,adoption,Foster Home
49262300,Ooh LaLa,German Shepherd/Mix,Female,1 year 6 months,adoption,Foster Home
48704921,Moco,"Terrier, American Pit Bull/Siberian Husky",Male/Neutered,10 years 3 months,adoption,Foster Home
49221061,Libby,"Terrier, American Pit Bull/Mix",Female,4 years,adoption,Foster Home
49266404,BoiBoi,"Terrier, American Pit Bull/Mix",Male,1 year,adoption,New Arrivals
48933554,Kendle,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 2 months,adoption,Foster Home
49206483,Athena,"Terrier, Pit Bull/Mix",Female,1 year,adoption,Extended Stay
49226956,Jolly,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",Male, 7 months,adoption,Foster Home
48670787,Summit,"Terrier, Pit Bull/Mix",Female/Spayed,5 years 3 months,adoption,Foster Home
49016561,David And,"Terrier, American Pit Bull/Mix",Male,4 years 1 month,adoption,Foster Home
49058305,Larpie,"Terrier, Pit Bull/Mix",Female,1 year 6 months,adoption,Foster Home
48820883,Enchantress,"Terrier, Pit Bull/Mix",Female,1 year 2 months,adoption,Foster Home
49142158,Willy Pete,Bulldog/Mix,Male/Neutered,3 years 7 months,adoption,Adoption
49240629,Diamond,"Terrier, American Pit Bull/Mix",Female,3 years,adoption,Adoption
49037491,Kleo,"Terrier, American Pit Bull/Mix",Female/Spayed,8 years 1 month,adoption,Foster Home
48351060,Princess Seltzer,Hound/Terrier,Female/Spayed,8 years 4 months,adoption,Foster Home
